Titolo,Artista,Settimana,Streaming,Radio_Tv,Download,Percentuale
Black Nirvana,Elodie,2024-08-24,61,38,1,61.04
Karma,Kolors,2024-08-24,43,55,2,55.6
Episodio d'amore,Geolier feat. Takagi e Ketra & Dat Boi Dee,2024-08-24,67,32,1,44.66
Tt le girlz,Anna feat. Niky Savage,2024-08-24,100,0,0,43.22
Sexy shop,Fedez & Emis Killa,2024-08-24,83,16,1,42.38
Rossetto e caffè,Sal Da Vinci,2024-08-24,95,1,4,41.07
Melodrama,Angelina Mango,2024-08-24,50,50,1,38.29
L'ultima poesia,Geolier & Ultimo,2024-08-24,98,1,1,37.34
Altrove,Ultimo,2024-08-24,69,30,1,36.99
I love it,Anna feat. Artie 5Ive,2024-08-24,100,0,0,35.47
BBE,ANNA feat. Lazza,2024-08-24,100,0,0,35.26
Die with a smile,Lady Gaga & Bruno Mars,2024-08-24,43,52,5,35.01
Stargazing,Myles Smith,2024-08-24,30,69,1,30.16
Birds of a feather,Billie Eilish,2024-08-24,43,53,4,29.96
Espresso,Sabrina Carpenter,2024-08-24,47,53,0,29.47
Peyote,Articolo 31 feat. Fabri Fibra & Rocco Hunt,2024-08-24,38,62,0,29.26
Passione,Fred De Palma,2024-08-24,51,48,1,28.94
feelslikeimfallinginlove,Coldplay,2024-08-24,13,85,2,28.47
El pibe de oro,Geolier,2024-08-24,99,0,1,28.28
Estate 80,bnkr44,2024-08-24,24,75,1,28.22
Love U / Hate U,Boomdabash,2024-08-24,32,66,1,27.19
Devastante,Olly & Jvli,2024-08-24,98,1,1,26.92
100 messaggi,Lazza,2024-08-24,94,5,1,26.4
Galassie,Irama,2024-08-24,63,35,1,26.21
Houdini,Eminem,2024-08-24,24,75,1,26.1
I like the way you kiss me,Artemas,2024-08-24,50,49,1,26.06
Sinceramente,Annalisa,2024-08-24,98,0,2,24.64
Move,Adam Port & Stryv & Keinemusik & Orso & Malachiii,2024-08-24,87,12,2,24.24
Fino all'alba,Capo Plaza,2024-08-24,93,7,0,24.22
Ho voglia di te,Jvli & Emma & Olly,2024-08-24,98,1,1,23.24
Bacio di Giuda,Ava feat. Villabanks & Mida,2024-08-24,99,1,1,22.44
Io t'o giur',Geolier feat. Sfera Ebbasta,2024-08-24,99,1,0,22.23
Femme fatale,Emma,2024-08-24,52,47,1,21.88
Hello Kitty,Anna feat. Sillyelly,2024-08-24,100,0,0,21.83
Beatrice,Tedua feat. Annalisa,2024-08-24,100,0,0,20.87
Mammamì,Petit,2024-08-24,100,0,0,20.69
"I p' me, tu p' te",Geolier,2024-08-24,100,0,0,20.66
Click boom!,Rose Villain,2024-08-24,99,1,0,20.6
Tuta gold,Mahmood,2024-08-24,93,7,0,20.5
Belong together,Mark Ambor,2024-08-24,7,93,0,19.94
Miu Miu,Tony Effe unc. Palmitessa,2024-08-24,99,0,1,19.82
Festa totale,Paola e Chiara,2024-08-24,22,77,1,19.16
A bar song (Tipsy),Shaboozey,2024-08-24,13,84,2,19.07
Vabbe' ciao,Alfa,2024-08-24,51,48,1,18.73
Shut up and dance,Sophie And The Giants,2024-08-24,0,98,2,18.45
Bikini,Anna feat. Guè,2024-08-24,100,0,0,18.4
Gata only,Floyymenor & Cris Mj,2024-08-24,98,2,0,17.68
Ask & you shall receive,Rita Ora,2024-08-24,0,100,0,16.71
Beautiful things,Benson Boone,2024-08-24,85,11,4,16.45
Dopo le 4,"Tony Effe, Bresh & Tedua",2024-08-24,100,0,0,16.38
Bad boy,Finesse feat. Shiva & Capo Plaza & Ava,2024-08-24,99,1,0,16.06
Casa mia,Ghali,2024-08-24,86,14,0,15.89
I had some help,Post Malone feat. Morgan Wallen,2024-08-24,12,86,2,15.79
Torcida,Bresh,2024-08-24,100,0,0,15.16
Si stat' tu,Geolier,2024-08-24,100,0,0,13.67
Musica italiana,Rocco Hunt,2024-08-24,59,41,0,13.56
Nice to meet you,Imagine Dragons,2024-08-24,0,100,0,13.48
Woman's world,Katy Perry,2024-08-24,0,100,0,13.47
Vecchio stampo/West Coast,Frezza,2024-08-24,97,3,0,13.45
Alibi,Sevdaliza & Pabllo Vittar & Yseult,2024-08-24,97,3,0,13.06
Fly,Quavo & Lenny Kravitz,2024-08-24,0,97,3,12.9
Alè,Rhove & Capo Plaza,2024-08-24,100,0,0,12.85
Illusion,Dua Lipa,2024-08-24,6,94,0,12.48
"Nu parl, nu sent, nu vec",Geolier,2024-08-24,100,0,0,12.44
ABC,Anna feat. Tony Boy & Thasup,2024-08-24,100,0,0,12.39
Vetri neri,Ava & Anna & Capo Plaza,2024-08-24,100,0,0,12.05
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-08-24,100,0,0,11.9
Frutta malinconia,Francesco Gabbani,2024-08-24,0,98,2,11.88
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2024-08-24,92,5,3,11.87
"She’s gone, dance on",Disclosure,2024-08-24,0,97,3,11.64
Soldi arrotolati,Capo Plaza feat. Anna,2024-08-24,100,0,0,11.32
Ghetto love,Icy Subzero feat. Clara,2024-08-24,100,0,0,10.88
Ma che idea,Bnkr44 & Pino D'Angiò,2024-08-24,100,0,0,10.82
"Un ragazzo, una ragazza",Kolors,2024-08-24,97,0,3,10.41
Una come te,Geolier,2024-08-24,100,0,0,10.35
Una tipa come me,Anna,2024-08-24,100,0,0,10.2
Milano Testarossa,Artie 5Ive feat. Guè,2024-08-24,100,0,0,10.18
Edge of saturday night,Blessed Madonna & Kylie Minogue,2024-08-24,0,96,4,10.15
Gata only [remix],FloyyMenor & Ozuna & Anitta,2024-08-24,100,0,0,10.04
I can do it with a broken heart,Taylor Swift,2024-08-24,0,100,0,9.65
Ma non tutta la vita,Ricchi e Poveri,2024-08-24,100,0,0,9.32
Per sempre,Geolier,2024-08-24,100,0,0,9.23
Senza tuccà,Gigi D'Alessio feat. Geolier,2024-08-24,75,23,2,9.21
Cenere,Lazza,2024-08-24,100,0,0,9.17
Real gangsta love,Trueno,2024-08-24,98,2,0,9.11
Vai!,Alfa,2024-08-24,100,0,0,9.01
Roulette,Sarah Toscano,2024-08-24,12,86,2,8.91
Italodisco,Kolors,2024-08-24,97,0,3,8.89
La noia,Angelina Mango,2024-08-24,100,0,0,8.75
Anche stasera,Sfera Ebbasta feat. Elodie,2024-08-24,100,0,0,8.55
Luna piena,Negramaro,2024-08-24,0,100,0,8.12
Vieni dalla Baddie (Interlude),Anna,2024-08-24,100,0,0,7.84
In una bubble,Yungest Moonstar feat. Thasup,2024-08-24,100,0,0,7.73
Hello world (Song of the Olympics),Gwen Stefani & Anderson .Paak,2024-08-24,0,100,0,7.68
Guess,Charli XCX feat. Billie Eilish,2024-08-24,98,2,0,7.59
Too sweet,Hozier,2024-08-24,52,48,0,7.56
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-08-24,100,0,0,7.52
Baby mama,Don Pero,2024-08-24,100,0,0,7.22
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-08-24,100,0,0,7.18
Veleno,Tananai,2024-08-24,96,0,4,7.16
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-08-24,100,0,0,7.15
Bellissimissima,Alfa,2024-08-24,100,0,0,7.09
Bye bye bye,*Nsync,2024-08-24,98,2,0,7.04
Mezzo secondo,Gazzelle,2024-08-24,100,0,0,6.97
Chica italiana,Anna feat. Sfera Ebbasta,2024-08-24,100,0,0,6.91
Ci pensiamo domani,Angelina Mango,2024-08-24,97,0,3,6.91
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-08-24,100,0,0,6.84
Sarò con te,SLF & Geolier feat. Lele Blade & Mv Killa & Vale Lambo & Yung,2024-08-24,100,0,0,6.81
Maranza,Il Pagante & Fabio Rovazzi,2024-08-24,97,0,3,6.79
Si no es contigo,Cris Mj,2024-08-24,100,0,0,6.73
La musica non c'è,Coez,2024-08-24,100,0,0,6.63
I don't wanna wait,David Guetta & Onerepublic,2024-08-24,98,2,0,6.57
Eva,Kid Yugi & Tedua & Junior K,2024-08-24,100,0,0,6.56
Visiera a becco,Sfera Ebbasta,2024-08-24,100,0,0,6.54
00,Artie 5ive,2024-08-24,100,0,0,6.39
Petit fou fou,Rhove & Anna,2024-08-24,100,0,0,6.21
Grazie a Dio,Yungest Moonstar feat. Thasup,2024-08-24,100,0,0,6.02
15 Piani,Sfera Ebbasta feat. Marracash,2024-08-24,100,0,0,6.02
Mon amour,Annalisa,2024-08-24,100,0,0,5.98
Capri sun,Capo Plaza,2024-08-24,100,0,0,5.93
Tango,Tananai,2024-08-24,100,0,0,5.93
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-08-24,98,2,0,5.89
Rubami la notte,Pinguini Tattici Nucleari,2024-08-24,100,0,0,5.82
Anelli e collane,Artie 5Ive feat. Anna,2024-08-24,100,0,0,5.68
Lose control,Teddy Swims,2024-08-24,90,4,6,5.68
Hay Lupita,Lomiiel,2024-08-24,97,3,0,5.67
Santa,Rvssian & Rauw Alejandro & Ayra Starr,2024-08-24,100,0,0,5.58
Iris (tra le tue poesie),Biagio Antonacci,2024-08-24,100,0,0,5.56
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-08-24,100,0,0,5.55
Copacabana,Simba La Rue & Ft Kings,2024-08-24,100,0,0,5.41
Non ho bisogno di te,Noemi,2024-08-24,0,100,0,5.38
Fe!N,Travis Scott feat. Playboi Carti,2024-08-24,95,0,5,5.25
Guasto d'amore,Bresh & Shune,2024-08-24,100,0,0,5.22
Summer's back,Alok & Jess Glynne,2024-08-24,0,100,0,5.16
Molto amore,Diodato,2024-08-24,0,100,0,5.05
Già lo sai,Geolier feat. Luchè,2024-08-24,100,0,0,4.99
Piccola stella,Ultimo,2024-08-24,100,0,0,4.98
Il male che mi fai,Geolier feat. Marracash,2024-08-24,100,0,0,4.98
Hoe,Tedua feat. Sfera Ebbasta,2024-08-24,100,0,0,4.97
Count on my love,The Blessed Madonna & Daniel Wilson & Kon,2024-08-24,0,100,0,4.97
Who,Jimin,2024-08-24,48,52,0,4.93
Insta lova,Marracash & Guè Pequeno,2024-08-24,100,0,0,4.92
Icon,Tony Effe,2024-08-24,100,0,0,4.89
Come vuoi,Geolier,2024-08-24,100,0,0,4.88
Mwaki,Zerb & Sofiya Nzau,2024-08-24,93,7,0,4.85
Tonight,Anna,2024-08-24,100,0,0,4.8
Ridere,Pinguini Tattici Nucleari,2024-08-24,100,0,0,4.78
Adrenalina,Baby Gang feat. Blanco & Marracash,2024-08-24,100,0,0,4.78
Scale,Night Skinny & Luchè,2024-08-24,100,0,0,4.71
Giovani Wannabe,Pinguini Tattici Nucleari,2024-08-24,100,0,0,4.67
Tran Tran,Sfera Ebbasta,2024-08-24,100,0,0,4.66
Quel filo che ci unisce,Ultimo,2024-08-24,94,0,6,4.65
Emirates,Geolier & Yung Boi,2024-08-24,100,0,0,4.61
Madame,Baby Gang & Higashi feat. Sfera Ebbasta,2024-08-24,100,0,0,4.61
Apnea,Emma,2024-08-24,100,0,0,4.59
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-08-24,100,0,0,4.59
Vieni nel mio cuore,Ultimo,2024-08-24,100,0,0,4.58
Mille notti,Fasma & GG,2024-08-24,100,0,0,4.58
Lilith,Kid Yugi,2024-08-24,100,0,0,4.56
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-08-24,100,0,0,4.55
Addo staje [ride it napoletan remix],Le-One feat. VTR,2024-08-24,100,0,0,4.51
"Good luck, babe!",Chappell Roan,2024-08-24,52,43,4,4.31
Buscando money,Twenty Six & Tayson Kryss,2024-08-24,87,13,0,4.29
Destri,Gazzelle,2024-08-24,100,0,0,4.28
Fantasmi,Rose Villain feat. Geolier,2024-08-24,100,0,0,4.28
Scumpar,Geolier,2024-08-24,100,0,0,4.25
Una vita fa,Geolier feat. Shiva,2024-08-24,100,0,0,4.2
Look who's laughing now,Benjamin Ingrosso,2024-08-24,0,100,0,4.14
A sky full of stars,Coldplay,2024-08-24,91,0,9,4.08
Brivido,Guè Pequeno feat. Marracash,2024-08-24,100,0,0,4.05
Bang bang,Sfera Ebbasta,2024-08-24,100,0,0,4.04
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-08-24,100,0,0,4.02
Pillole,"Tony Effe &, Sfera Ebbasta & Geolier",2024-08-24,100,0,0,3.98
Acqua passata,Capo Plaza,2024-08-24,100,0,0,3.98
Sintetico,Kid Yugi & Night Skinny & Tony Boy,2024-08-24,100,0,0,3.9
Ex angelo,Kid Yugi & Sfera Ebbasta & Shablo,2024-08-24,100,0,0,3.9
Rossofuoco,Mida,2024-08-24,100,0,0,3.87
Big dawgs,Hanumankind & Kalmi,2024-08-24,91,9,0,3.74
La bachata,Manuel Turizo,2024-08-24,100,0,0,3.72
Idee chiare,Geolier feat. Lazza,2024-08-24,100,0,0,3.7
Full full,Vmonster,2024-08-24,100,0,0,3.69
Scengo da coppe e quartiere,Giusy Attanasio,2024-08-24,100,0,0,3.69
It's not right (but it's Ok),Mr. Belt & Wezol,2024-08-24,96,4,0,3.66
Ancora qua,Capo Plaza feat. Tedua,2024-08-24,100,0,0,3.6
Margarita,Elodie & Marracash,2024-08-24,100,0,0,3.58
Amore no [remix],Adriano Celentano,2024-08-24,45,42,13,3.51
Hurt,Onerepublic,2024-08-24,0,100,0,3.47
Apaga el cel,FloyyMenor & Lewis Somes,2024-08-24,100,0,0,3.46
Papaya,Villabanks,2024-08-24,100,0,0,3.43
Wave,Fast Boy & Raf,2024-08-24,0,100,0,3.39
Latitante,Ditonellapiaga,2024-08-24,0,100,0,3.36
30ºc,Anna,2024-08-31,69,30,1,100.0
Sesso e samba,Tony Effe & Gaia,2024-08-31,68,30,1,97.43
Storie brevi,Tananai & Annalisa,2024-08-31,66,31,3,90.37
Si antes te hubiera conocido,Karol G,2024-08-31,60,35,5,80.59
Mezzo rotto,Alessandra Amoroso feat. Bigmama,2024-08-31,66,31,3,69.06
Ra ta ta,Mahmood,2024-08-31,61,38,1,68.7
Paprika,Ghali,2024-08-31,70,29,1,66.97
Come un tuono,Rose Villain feat. Guè,2024-08-31,75,24,1,64.26
Black Nirvana,Elodie,2024-08-31,61,38,1,63.15
Malavita,Coma_Cose,2024-08-31,64,35,1,62.89
Tt le girlz,Anna feat. Niky Savage,2024-08-31,100,0,0,49.4
Karma,Kolors,2024-08-31,44,54,2,47.97
Rossetto e caffè,Sal Da Vinci,2024-08-31,96,1,3,47.82
Episodio d'amore,Geolier feat. Takagi e Ketra & Dat Boi Dee,2024-08-31,70,30,1,46.25
Sexy shop,Fedez & Emis Killa,2024-08-31,81,18,1,42.87
Take 5,Shiva,2024-08-31,97,0,3,37.51
L'ultima poesia,Geolier & Ultimo,2024-08-31,98,0,2,37.45
Altrove,Ultimo,2024-08-31,68,31,1,37.32
Die with a smile,Lady Gaga & Bruno Mars,2024-08-31,45,51,4,36.68
I love it,Anna feat. Artie 5Ive,2024-08-31,100,0,0,35.7
Passione,Fred De Palma,2024-08-31,50,48,1,35.33
Espresso,Sabrina Carpenter,2024-08-31,50,50,1,34.35
Birds of a feather,Billie Eilish,2024-08-31,43,52,5,34.03
BBE,ANNA feat. Lazza,2024-08-31,100,0,0,33.78
Melodrama,Angelina Mango,2024-08-31,50,50,0,33.35
Peyote,Articolo 31 feat. Fabri Fibra & Rocco Hunt,2024-08-31,37,63,1,29.69
Stargazing,Myles Smith,2024-08-31,33,65,2,29.55
Galassie,Irama,2024-08-31,59,40,1,29.28
Ho voglia di te,Jvli & Emma & Olly,2024-08-31,91,8,1,27.96
Devastante,Olly & Jvli,2024-08-31,98,1,1,27.95
El pibe de oro,Geolier,2024-08-31,100,0,0,27.94
Hello Kitty,Anna feat. Sillyelly,2024-08-31,99,0,1,27.47
Love U / Hate U,Boomdabash,2024-08-31,33,66,1,27.45
Estate 80,bnkr44,2024-08-31,27,72,1,27.33
100 messaggi,Lazza,2024-08-31,99,1,0,26.83
Festa totale,Paola e Chiara,2024-08-31,17,82,1,26.15
Il tempo cura,Tony Boy,2024-08-31,100,0,0,25.97
Houdini,Eminem,2024-08-31,21,78,1,25.82
Move,Adam Port & Stryv & Keinemusik & Orso & Malachiii,2024-08-31,87,11,2,24.87
Fino all'alba,Capo Plaza,2024-08-31,93,7,0,24.11
Io t'o giur',Geolier feat. Sfera Ebbasta,2024-08-31,99,1,0,23.3
Sinceramente,Annalisa,2024-08-31,93,6,1,23.22
feelslikeimfallinginlove,Coldplay,2024-08-31,16,81,3,22.49
Bacio di Giuda,Ava feat. Villabanks & Mida,2024-08-31,99,1,0,22.32
Belong together,Mark Ambor,2024-08-31,7,91,2,21.37
Click boom!,Rose Villain,2024-08-31,99,1,0,21.27
Femme fatale,Emma,2024-08-31,52,48,0,21.21
"I p' me, tu p' te",Geolier,2024-08-31,100,0,0,20.96
A bar song (Tipsy),Shaboozey,2024-08-31,13,86,1,20.29
Beatrice,Tedua feat. Annalisa,2024-08-31,100,0,0,19.83
Tuta gold,Mahmood,2024-08-31,91,9,0,19.67
We pray,Coldplay feat. Little Simz & Burna Boy & Elyanna & Tini,2024-08-31,13,84,3,19.27
Mammamì,Petit,2024-08-31,100,0,0,19.24
Bikini,Anna feat. Guè,2024-08-31,100,0,0,18.97
Ask & you shall receive,Rita Ora,2024-08-31,0,100,0,18.73
Shut up and dance,Sophie And The Giants,2024-08-31,0,98,2,18.68
I like the way you kiss me,Artemas,2024-08-31,61,38,1,18.21
Gata only,Floyymenor & Cris Mj,2024-08-31,97,3,0,18.2
Bad boy,Finesse feat. Shiva & Capo Plaza & Ava,2024-08-31,99,1,0,18.03
Vecchio stampo/West Coast,Frezza,2024-08-31,98,2,0,17.95
Vabbe' ciao,Alfa,2024-08-31,56,44,0,17.74
Miu Miu,Tony Effe unc. Palmitessa,2024-08-31,100,0,0,17.68
Dopo le 4,"Tony Effe, Bresh & Tedua",2024-08-31,100,0,0,15.84
Cenere,Lazza,2024-08-31,91,9,0,15.3
Nice to meet you,Imagine Dragons,2024-08-31,0,100,0,14.85
Torcida,Bresh,2024-08-31,100,0,0,14.63
I had some help,Post Malone feat. Morgan Wallen,2024-08-31,0,100,0,14.5
Musica italiana,Rocco Hunt,2024-08-31,58,42,0,14.12
Si stat' tu,Geolier,2024-08-31,100,0,0,14.06
Beautiful things,Benson Boone,2024-08-31,93,3,4,14.03
Alè,Rhove & Capo Plaza,2024-08-31,100,0,0,13.5
ABC,Anna feat. Tony Boy & Thasup,2024-08-31,100,0,0,13.24
Alibi,Sevdaliza & Pabllo Vittar & Yseult,2024-08-31,96,2,2,13.18
Edge of saturday night,Blessed Madonna & Kylie Minogue,2024-08-31,0,97,3,12.89
"Nu parl, nu sent, nu vec",Geolier,2024-08-31,100,0,0,12.49
Woman's world,Katy Perry,2024-08-31,0,98,2,12.47
Milano Testarossa,Artie 5Ive feat. Guè,2024-08-31,100,0,0,12.28
"She’s gone, dance on",Disclosure,2024-08-31,0,100,0,12.13
Casa mia,Ghali,2024-08-31,83,17,0,11.85
Illusion,Dua Lipa,2024-08-31,10,90,0,11.58
Milano Lo Prado,El Jordan 23 & Shiva,2024-08-31,100,0,0,11.43
Fly,Quavo & Lenny Kravitz,2024-08-31,0,100,0,11.4
Anche stasera,Sfera Ebbasta feat. Elodie,2024-08-31,100,0,0,11.34
Vetri neri,Ava & Anna & Capo Plaza,2024-08-31,100,0,0,11.29
Una tipa come me,Anna,2024-08-31,100,0,0,11.16
Soldi arrotolati,Capo Plaza feat. Anna,2024-08-31,100,0,0,11.01
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-08-31,100,0,0,10.92
Taste,Sabrina Carpenter,2024-08-31,98,0,2,10.85
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-08-31,100,0,0,10.72
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2024-08-31,94,6,0,10.28
I can do it with a broken heart,Taylor Swift,2024-08-31,0,100,0,10.01
Gata only [remix],FloyyMenor & Ozuna & Anitta,2024-08-31,100,0,0,9.93
Una come te,Geolier,2024-08-31,100,0,0,9.82
Per sempre,Geolier,2024-08-31,100,0,0,9.38
Real gangsta love,Trueno,2024-08-31,80,20,0,9.38
Italodisco,Kolors,2024-08-31,100,0,0,9.36
Frutta malinconia,Francesco Gabbani,2024-08-31,6,94,0,9.03
Pretty slowly,Benson Boone,2024-08-31,0,98,2,8.6
La noia,Angelina Mango,2024-08-31,100,0,0,8.54
Too sweet,Hozier,2024-08-31,57,43,0,8.39
Ma che idea,Bnkr44 & Pino D'Angiò,2024-08-31,100,0,0,8.38
Ghetto love,Icy Subzero feat. Clara,2024-08-31,100,0,0,8.32
Bye bye bye,*Nsync,2024-08-31,95,2,3,8.28
"Good luck, babe!",Chappell Roan,2024-08-31,54,44,2,8.18
Vieni dalla Baddie (Interlude),Anna,2024-08-31,100,0,0,8.16
Luna piena,Negramaro,2024-08-31,0,100,0,8.1
Wonderwall,Oasis,2024-08-31,93,0,7,8.09
Hello world (Song of the Olympics),Gwen Stefani & Anderson .Paak,2024-08-31,0,100,0,8.05
Roulette,Sarah Toscano,2024-08-31,11,89,0,8.01
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-08-31,100,0,0,7.96
Eva,Kid Yugi & Tedua & Junior K,2024-08-31,100,0,0,7.77
Baby mama,Don Pero,2024-08-31,100,0,0,7.72
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-08-31,100,0,0,7.49
Guess,Charli XCX feat. Billie Eilish,2024-08-31,96,2,3,7.32
Sant'Allegria [jack sani remix],Ornella Vanoni,2024-08-31,84,7,10,7.28
Petit fou fou,Rhove & Anna,2024-08-31,100,0,0,7.16
Senza tuccà,Gigi D'Alessio feat. Geolier,2024-08-31,100,0,0,7.16
I don't wanna wait,David Guetta & Onerepublic,2024-08-31,100,0,0,7.1
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-08-31,100,0,0,6.97
Visiera a becco,Sfera Ebbasta,2024-08-31,100,0,0,6.91
First day out,Shiva,2024-08-31,100,0,0,6.88
Si no es contigo,Cris Mj,2024-08-31,100,0,0,6.83
"Un ragazzo, una ragazza",Kolors,2024-08-31,100,0,0,6.71
Sarò con te,SLF & Geolier feat. Lele Blade & Mv Killa & Vale Lambo & Yung,2024-08-31,100,0,0,6.7
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-08-31,100,0,0,6.6
Veleno,Tananai,2024-08-31,100,0,0,6.53
00,Artie 5ive,2024-08-31,100,0,0,6.51
Bellissimissima,Alfa,2024-08-31,100,0,0,6.5
Vai!,Alfa,2024-08-31,100,0,0,6.47
Vieni nel mio cuore,Ultimo,2024-08-31,100,0,0,6.46
Ma non tutta la vita,Ricchi e Poveri,2024-08-31,100,0,0,6.43
Hay Lupita,Lomiiel,2024-08-31,97,3,0,6.36
Lose control,Teddy Swims,2024-08-31,89,3,8,6.35
World on fire,Thirty Seconds to Mars,2024-08-31,0,100,0,6.26
Non ho bisogno di te,Noemi,2024-08-31,0,100,0,6.24
Ci pensiamo domani,Angelina Mango,2024-08-31,100,0,0,6.19
Mezzo secondo,Gazzelle,2024-08-31,100,0,0,6.18
Quel filo che ci unisce,Ultimo,2024-08-31,96,0,4,6.13
Anelli e collane,Artie 5Ive feat. Anna,2024-08-31,100,0,0,6.1
15 Piani,Sfera Ebbasta feat. Marracash,2024-08-31,100,0,0,6.02
Chica italiana,Anna feat. Sfera Ebbasta,2024-08-31,100,0,0,5.97
Fe!N,Travis Scott feat. Playboi Carti,2024-08-31,95,0,5,5.93
Maranza,Il Pagante & Fabio Rovazzi,2024-08-31,100,0,0,5.87
Please please please,Sabrina Carpenter,2024-08-31,96,0,4,5.83
Due vite,Marco Mengoni,2024-08-31,97,0,3,5.82
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-08-31,100,0,0,5.8
Tango,Tananai,2024-08-31,100,0,0,5.73
La musica non c'è,Coez,2024-08-31,100,0,0,5.73
Summer's back,Alok & Jess Glynne,2024-08-31,0,100,0,5.72
Santa,Rvssian & Rauw Alejandro & Ayra Starr,2024-08-31,100,0,0,5.66
Don't look back in anger,Oasis,2024-08-31,91,0,9,5.58
Capri sun,Capo Plaza,2024-08-31,100,0,0,5.45
Rubami la notte,Pinguini Tattici Nucleari,2024-08-31,100,0,0,5.43
Mille notti,Fasma & GG,2024-08-31,100,0,0,5.32
Iris (tra le tue poesie),Biagio Antonacci,2024-08-31,100,0,0,5.32
In una bubble,Yungest Moonstar feat. Thasup,2024-08-31,100,0,0,5.31
Il male che mi fai,Geolier feat. Marracash,2024-08-31,100,0,0,5.07
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-08-31,100,0,0,5.04
Brivido,Guè Pequeno feat. Marracash,2024-08-31,100,0,0,5.04
Look who's laughing now,Benjamin Ingrosso,2024-08-31,0,100,0,5.03
Onda alta,Dargen D'Amico,2024-08-31,100,0,0,5.02
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-08-31,100,0,0,5.02
Molto amore,Diodato,2024-08-31,0,100,0,4.95
Icon,Tony Effe,2024-08-31,100,0,0,4.92
Wave,Fast Boy & Raf,2024-08-31,0,100,0,4.92
Insta lova,Marracash & Guè Pequeno,2024-08-31,100,0,0,4.91
Lilith,Kid Yugi,2024-08-31,100,0,0,4.85
Mwaki,Zerb & Sofiya Nzau,2024-08-31,94,6,0,4.84
Come vuoi,Geolier,2024-08-31,100,0,0,4.81
Peligrosa,Floyymenor,2024-08-31,93,7,0,4.76
Forever young,Alphaville,2024-08-31,94,0,6,4.72
Bang bang,Sfera Ebbasta,2024-08-31,100,0,0,4.67
Apparecchiato,Papa V feat. Nerissima Serpe,2024-08-31,100,0,0,4.67
Tonight,Anna,2024-08-31,100,0,0,4.67
Guasto d'amore,Bresh & Shune,2024-08-31,100,0,0,4.66
Count on my love,The Blessed Madonna & Daniel Wilson & Kon,2024-08-31,0,100,0,4.65
Adrenalina,Baby Gang feat. Blanco & Marracash,2024-08-31,100,0,0,4.65
Fantasmi,Rose Villain feat. Geolier,2024-08-31,100,0,0,4.64
Addo staje [ride it napoletan remix],Le-One feat. VTR,2024-08-31,100,0,0,4.57
Hoe,Tedua feat. Sfera Ebbasta,2024-08-31,100,0,0,4.56
Buscando money,Twenty Six & Tayson Kryss,2024-08-31,87,13,0,4.55
Rossofuoco,Mida,2024-08-31,100,0,0,4.55
Piccola stella,Ultimo,2024-08-31,100,0,0,4.5
CRUDELIA: I nervi,Marracash,2024-08-31,100,0,0,4.49
Parafulmini,Ernia feat. Bresh & Fabri Fibra,2024-08-31,100,0,0,4.49
Emirates,Geolier & Yung Boi,2024-08-31,100,0,0,4.43
Ex angelo,Kid Yugi & Sfera Ebbasta & Shablo,2024-08-31,100,0,0,4.4
Mon amour,Annalisa,2024-08-31,100,0,0,4.39
Una vita fa,Geolier feat. Shiva,2024-08-31,100,0,0,4.25
Scale,Night Skinny & Luchè,2024-08-31,100,0,0,4.21
Sintetico,Kid Yugi & Night Skinny & Tony Boy,2024-08-31,100,0,0,4.21
Yamore,MoBlack & Salif Keïta feat. Cesaria Evora & Benja (NL) & Franc Fala,2024-08-31,48,43,9,4.2
Destri,Gazzelle,2024-08-31,100,0,0,4.18
Ancora,Rhove,2024-08-31,100,0,0,4.17
Giovani Wannabe,Pinguini Tattici Nucleari,2024-08-31,96,0,4,4.14
Copacabana,Simba La Rue & Ft Kings,2024-08-31,100,0,0,4.12
Già lo sai,Geolier feat. Luchè,2024-08-31,100,0,0,4.08
